Code	Village_Name	Branch	Glottocode	ISO639P3code	CLDF_Name
mitl11	Santiago Mitlatongo	Mixtec	mitl1235	vmm	SantiagoMitlatongoMixtec
mixt11	San Juan Mixtepec	Mixtec	mixt1425	mix	SanJuanMixtepecMixtec
moli11	San Pedro Molinos	Mixtec	sanp1259	mig	SanPedroMolinosMixtec
mont11	San Antonino Monte Verde	Mixtec	mont1271	xtn	SanAntoninoMonteVerdeMixtec
mont12	San Sebastián del Monte	Mixtec	sila1250	mks	SanSebastianMonteMixtec
mont13	Santa Lucía Monteverde	Mixtec	sant1439	mdv	SantaLuciaMonteverdeMixtec
mont14	San Agustín Monte Lobos	Mixtec			SanAgustinMonteLobosMixtec
more11	San Luís Morelia	Mixtec	tama1339	vmx	SanLuisMoreliaMixtec
ndua11	San Antonio Nduayaco	Mixtec	apas1235	mip	SanAntonioNduayacoMixtec
nica11	San Sebastián Nicananduta	Mixtec	nort2985	xtn	SanSebastianNicanandutaMixtec
nuch11	San Jorge Nuchita	Mixtec	sila1250	mks	SanJorgeNuchitaMixtec
numi11	San Juan Ñumi	Mixtec	nort2985	xtn	SanJuanNumiMixtec
nund11	Santa Cruz Nundaco	Mixtec			SantaCruzNundacoMixtec
nund12	Santiago Nundiche/Nundichi	Mixtec	nort2985	xtn	SantiagoNundicheMixtec
nund13	Santo Domingo Nundó	Mixtec			SantoDomingoNundoMixtec
nuti11	Santa María Nutio	Mixtec			SantaMariaNutioMixtec
nuxa11	Santo Domingo Nuxaá	Mixtec			SantoDomingoNuxaaMixtec
nuxi11	San Andrés Nuxiño	Mixtec			SanAndresNuxinoMixtec
nuyo11	Santiago Nuyoó	Mixtec	nuyo1238	meh	SantiagoNuyooMixtec
ocot11	Santo Tomás Ocotepec	Mixtec	ocot1243	mie	SantoTomasOcotepecMixtec
papa11	Santa María Pápalo	Cuicatec	sant1437	cux	SantaMariaPapaloCuicatec
pena11	Magdalena Peñasco	Mixtec	magd1235	xtm	MagdalenaPenascoMixtec
pena12	San Mateo Peñasco	Mixtec	sanm1293	xtm	SanMateoPenascoMixtec
peno11	Santa María Peñoles	Mixtec	peno1244	mil	SantaMariaPenolesMixtec
peno11	Santa María Peñoles	Mixtec	sant1445	mil	SantaMariaPenolesMixtec
pera11	San Martín Peras	Mixtec	sanm1291	jmx	SanMartinPerasMixtec
petl11	Petlacalancingo/Petlakalansingo	Mixtec	petl1238	xta	PetlacalancingoMixtec
pied11	San Miguel Piedras	Mixtec	sanm1294	xtp	SanMiguelPiedrasMixtec
pied12	Piedra Azul	Mixtec			PiedraAzulMixtec
pina11	San Juan Piñas	Mixtec	sanj1280	jmx	SanJuanPinasMixtec
pino11	Santiago Pinotepa Nacional	Mixtec	pino1237	mio	SantiagoPinotepaNacionalMixtec
pino12	Pinotepa de Don Luís	Mixtec	pino1237	mio	PinotepaDonLuisMixtec
plan11	Plan de Guadalupe	Mixtec	plan1238	mim	PlanGuadalupeMixtec
poto11	Potoichán	Mixtec	poto1253	mim	PotoichanMixtec
prog11	San Miguel Progreso	Mixtec			SanMiguelProgresoMixtec
prog12	San Jerónimo Progreso	Mixtec	sila1250	mks	SanJeronimoProgresoMixtec
prom01	Proto-Mixtec	Mixtec	mixt1427		Proto-MixtecMixtec
prot01	Proto-Trique	Triqui	triq1251		Proto-TriqueMixtec
reye11	Santos Reyes Tepejillo	Mixtec			SantosReyesTepejilloMixtec
sayu11	San Francisco (de Asís) Sayultepec	Mixtec	pino1237	mio	SanFranciscoSayultepecMixtec
sila11	Silacayoapam	Mixtec	sila1250	mks	SilacayoapamMixtec
sind11	San Mateo Sindihui	Mixtec	sind1277	xts	SanMateoSindihuiMixtec
sini11	San José (Sinicahua)	Mixtec	sini1243	xti	SanJoseSinicahuaMixtec
soso11	San Jerónimo Sosola	Mixtec			SanJeronimoSosolaMixtec
soya11	San Bartolo Soyaltepec	Mixtec	soya1236	vmq	SanBartoloSoyaltepecMixtec
tama11	San Juan Tamazola	Mixtec	tama1339	vmx	SanJuanTamazolaMixtec
tama12	Santiago Tamazola	Mixtec			SantiagoTamazolaMixtec
tata11	Santa María Tataltepec	Mixtec	sant1444		SantaMariaTataltepecMixtec
teco11	San Sebastián Tecomaxtlahuaca	Mixtec			SanSebastianTecomaxtlahuacaMixtec
teit11	San Juan Teita	Mixtec	sanj1282	xtj	SanJuanTeitaMixtec
tejo11	Los Tejocotes	Mixtec			LosTejocotesMixtec
tepa11	Tepango	Mixtec	ayut1236	miy	TepangoMixtec
tepa12	San Mateo Tepantepec	Mixtec	sanm1297	mil	SanMateoTepantepecMixtec
tepe03	San Juan Tepeuxila 1900	Cuicatec	tepe1280	cux	SanJuanTepeuxila1900Cuicatec
tepe11	Tepejillo	Mixtec			TepejilloMixtec
tepe12	San Antonio Tepetlapa	Mixtec			SanAntonioTepetlapaMixtec
tepe13	San Juan Tepeuxila	Cuicatec	tepe1280	cux	SanJuanTepeuxilaCuicatec
tepo01	San Pedro y San Pablo Teposcolula 1600	Mixtec			SanPedroySanPabloTeposcolula1600Mixtec
teut11	San Pedro Teutila	Cuicatec	teut1235	cut	SanPedroTeutilaCuicatec
tezo11	Tezoatlán de Segura y Luna	Mixtec	tezo1239	mxb	TezoatlanSegurayLunaMixtec
ticu11	Santa Catarina Ticuá	Mixtec	sant1443	mig	SantaCatarinaTicuaMixtec
tida11	San Pedro Tidaá	Mixtec	tida1235	mtx	SanPedroTidaaMixtec
tija11	San Pablo Tijaltepec	Mixtec	tija1235	xtl	SanPabloTijaltepecMixtec
tila11	Santiago Tilantongo	Mixtec	diux1236	xtd	SantiagoTilantongoMixtec
tind11	Santa María Tindú	Mixtec			SantaMariaTinduMixtec
tlac11	San Agustín Tlacotepec	Mixtec	sana1284	xtm	SanAgustinTlacotepecMixtec
tlac12	San Miguel Tlacotepec	Mixtec			SanMiguelTlacotepecMixtec
tlah11	Tlahuapa	Mixtec	alco1235	xta	TlahuapaMixtec
tlal11	Santa Catarina Tlaltempan	Mixtec			SantaCatarinaTlaltempanMixtec
tlaz11	Santiago Tlazoyaltepec	Mixtec	tlaz1235	mqh	SantiagoTlazoyaltepecMixtec
tlaz11	Santiago Tlazoyaltepec	Mixtec	sant1446	mqh	SantiagoTlazoyaltepecMixtec
tona11	Santo Domingo Tonahuixtla	Mixtec			SantoDomingoTonahuixtlaMixtec
toto11	Tototepec	Mixtec	toto1307	mim	TototepecMixtec
toto12	(Santa María) Totoltepec de Guerrero	Mixtec	chaz1235	xtb	TotoltepecGuerreroMixtec
tutu11	Villa de Tututepec de Melchor Ocampo	Mixtec	tutu1243	mtu	VillaTututepecMelchorOcampoMixtec
tutu12	San Pedro Tututepec	Mixtec	tutu1243	mtu	SanPedroTututepecMixtec
xaya11	San Jerónimo Xayacatlán	Mixtec	south3001	mit	SanJeronimoXayacatlanMixtec
xaya12	Xayacatlán de Bravo	Mixtec	south3001	mit	XayacatlanBravoMixtec
xoch11	Xochapa	Mixtec	xoch1238	xta	XochapaMixtec
yolo11	Santa María Yolotepec	Mixtec	taca1257	xtt	SantaMariaYolotepecMixtec
yolo12	Yoloxochitl	Mixtec	yolo1241	xty	YoloxochitlMixtec
yoso11	Santiago Yosondúa	Mixtec	yoso1239	mpm	SantiagoYosonduaMixtec
yoso12	Santa María Yosoyúa	Mixtec	sant1442		SantaMariaYosoyuaMixtec
yoso13	Santa Catarina Yosonotú	Mixtec	sant1438		SantaCatarinaYosonotuMixtec
yoso14	San Pedro Yosoñama	Mixtec	yoso1238	xtn	SanPedroYosonamaMixtec
yucu11	San Bartolomé Yucuañe	Mixtec	yucu1250	mvg	SanBartolomeYucuaneMixtec
yucu12	Santa María Yucuhiti	Mixtec	yucu1249	meh	SantaMariaYucuhitiMixtec
yucu13	Yucuñuti de Benito Juárez	Mixtec	yucu1251	mxb	YucunutiBenitoJuarezMixtec
yucu14	San Pedro Yucunama	Mixtec			SanPedroYucunamaMixtec
yucu15	Santa María Yucunicoco	Mixtec			SantaMariaYucunicocoMixtec
yucu16	Yucuquimi de Ocampo	Mixtec			YucuquimiOcampoMixtec
yucu17	Yucunani/Yucunany	Mixtec	mixt1425	mix	YucunaniMixtec
yuta11	Yutanduchi de Guerrero	Mixtec	yuta1240	mab	YutanduchiGuerreroMixtec
yuta12	San Juan Yuta	Mixtec			SanJuanYutaMixtec
yuta13	San Andrés Yutatío	Mixtec			SanAndresYutatioMixtec
zaca11	Santa María Zacatepec	Mixtec	sant1436	mza	SantaMariaZacatepecMixtec
zahu11	San Simón Zahuatlán	Mixtec	sans1274		SanSimonZahuatlanMixtec
zapo11	Zapotitlán Palmas	Mixtec			ZapotitlanPalmasMixtec
